,0,1,2,Type,Contract,Floor,Lift,Surface,Rooms,Bed,Bath,Furnished,Terrace,Garage
124,"€ 3,350/month","2-room flat Rue Alfred de Musset, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1683077/,Apartment,Rent,3,Yes,76 m²,2,2,2,Yes,0,0
125,"€ 2,600/month","2-room flat excellent condition, first floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1671109/,Apartment,Rent,1,Yes,83 m²,2,2,1,0,0,0
126,"€ 1,850/month","1-bedroom flat excellent condition, first floor, Strassen",https://www.immotop.lu/en/annonces/1362465/,Apartment,Rent,1,Yes,60 m²,1,1,1,0,No,0
127,"€ 2,400/month","2-room flat 129 Rue De Strasbourg, Hollerich, Luxembourg",https://www.immotop.lu/en/annonces/1684741/,Apartment,Rent,Ground floor,Yes,76 m²,2,2,1,Yes,0,0
128,"€ 2,350/month","1-bedroom flat first floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1691693/,Apartment,Rent,1,Yes,80 m²,1,1,1,0,0,0
129,"€ 3,000/month","2-room flat second floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1685355/,Apartment,Rent,2,No,135 m²,2,2,2,0,0,0
130,"€ 2,400/month","2-room flat new, ground floor, Hollerich, Luxembourg",https://www.immotop.lu/en/annonces/1668731/,Apartment,Rent,Ground floor,No,76 m²,2,2,1,0,No,0
131,"€ 3,300/month","3-room flat excellent condition, third floor, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1617805/,Apartment,Rent,3,No,0,3,3,1,Yes,No,0
132,"€ 1,800/month","Studio for rent, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1641519/,Studio,Rent,2,No,30 m²,0,0,1,0,No,0
133,"€ 1,400/month","Studio for rent, Gare, Luxembourg",https://www.immotop.lu/en/annonces/255725/,Studio,Rent,3,Yes,27 m²,0,0,1,Yes,No,0
134,"€ 2,500/month","2-room flat 33, Bld Prince Henri, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1627973/,Apartment,Rent,3,Yes,91 m²,2,2,0,0,No,0
135,"€ 1,250/month","Studio for rent, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1696791/,Studio,Rent,Ground floor,No,0,1,1,1,0,No,0
136,"€ 1,450/month","1-bedroom flat Rue le Bataclan 8, Belval-Université, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1700497/,Apartment | Full ownership,Rent,2,Yes,56 m²,2,1,1,Yes,0,0
137,"€ 1,400/month","Studio apartment Rue Waassertrap 163, Belval Nord, Sanem",https://www.immotop.lu/en/annonces/1670915/,Apartment | Full ownership,Rent,2,Yes,43 m²,1,0,1,Partially furnished,0,0
138,"€ 2,950/month","Single-family detached house rue de Luxembourg, Bridel, Kopstal",https://www.immotop.lu/en/annonces/1700951/,Single-family detached house,Rent,Ground floor,No,160 m²,3,3,1,0,Yes,"1 in garage/box, 2 in shared parking"
139,"€ 2,770/month","3-room flat ground floor, Berdorf Localité, Berdorf",https://www.immotop.lu/en/annonces/1703771/,Apartment,Rent,Ground floor,No,150 m²,3,3,2,0,Yes,0
140,"€ 1,450/month","Studio for rent, Merl, Luxembourg",https://www.immotop.lu/en/annonces/1703769/,Studio,Rent,3,Yes,40 m²,0,0,1,0,No,0
141,"€ 1,650/month","2-room flat Rue des Romains, Strassen",https://www.immotop.lu/en/annonces/1700199/,Apartment,Rent,1,No,68 m²,2,2,1,0,Yes,0
142,"€ 1,600/month","1-bedroom flat rue de Noertzange, Schifflange",https://www.immotop.lu/en/annonces/1701757/,Apartment,Rent,1,Yes,56 m²,1,1,0,0,No,1 in garage/box
143,"€ 2,200/month","2-room flat ground floor, Belvaux, Sanem",https://www.immotop.lu/en/annonces/1700291/,Apartment,Rent,Ground floor,No,96 m²,2,2,1,0,Yes,"1 in garage/box, 1 in shared parking"
144,"€ 1,450/month","2-room flat second floor, Schifflange",https://www.immotop.lu/en/annonces/1701739/,Apartment,Rent,2,Yes,85 m²,2,2,1,0,No,1 in garage/box
145,"€ 1,200/month","1-bedroom flat third floor, Al-Esch, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1703419/,Apartment,Rent,3,No,53 m²,1,1,1,0,Yes,0
146,"€ 2,500/month","Single-family detached house 120 m², Al-Esch, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1661145/,Single-family detached house,Rent,Ground floor,No,120 m²,4,4,1,0,Yes,1 in garage/box
147,"€ 1,750/month","Duplex for rent, Aspelt, Frisange",https://www.immotop.lu/en/annonces/1648617/,Duplex,Rent,1,No,65 m²,2,2,1,0,0,0
148,"€ 1,650/month","2-room flat second floor, Warken, Ettelbruck",https://www.immotop.lu/en/annonces/1703039/,Apartment,Rent,2,Yes,89 m²,2,2,1,0,No,"1 in garage/box, 2 in shared parking"
149,"€ 4,250/month","Single-family detached house 9, Rue de l'Eglise, Alzingen, Hesperange",https://www.immotop.lu/en/annonces/1682123/,Single-family detached house,Rent,Ground floor,No,0,0,0,0,0,No,0
150,"€ 1,500/month","1-bedroom flat second floor, Niederkorn, Differdange",https://www.immotop.lu/en/annonces/347467/,Apartment,Rent,2,Yes,61 m²,1,1,1,0,Yes,0
151,"€ 1,450/month","1-bedroom flat third floor, Al-Esch, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1688159/,Apartment,Rent,3,No,56 m²,1,1,1,0,No,0
152,"€ 1,650/month","Duplex Rue Pierre Gansen, Niederkorn, Differdange",https://www.immotop.lu/en/annonces/1696199/,Duplex,Rent,3,Yes,70 m²,2,2,1,0,0,0
153,"€ 2,000/month","1-bedroom flat second floor, Clausen, Luxembourg",https://www.immotop.lu/en/annonces/1690681/,Apartment,Rent,2,No,56 m²,1,1,1,0,No,0
154,"€ 2,350/month","1-bedroom flat excellent condition, ground floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1586075/,Apartment,Rent,Ground floor,No,57 m²,1,1,1,0,Yes,0
155,"€ 2,650/month","2-room flat ground floor, Hesperange Localité, Hesperange",https://www.immotop.lu/en/annonces/1699505/,Apartment,Rent,Ground floor,No,90 m²,2,2,1,0,Yes,2 in shared parking
156,"€ 1,850/month","1-bedroom flat ground floor, Strassen",https://www.immotop.lu/en/annonces/1695601/,Apartment,Rent,Ground floor,Yes,50 m²,1,1,1,0,Yes,1 in shared parking
157,"€ 1,500/month","1-bedroom flat excellent condition, second floor, Al-Esch, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1701519/,Apartment,Rent,2,No,50 m²,1,1,1,Yes,0,0
158,"€ 1,750/month","1-bedroom flat ground floor, Grund, Luxembourg",https://www.immotop.lu/en/annonces/1620905/,Apartment,Rent,Ground floor,No,33 m²,1,1,1,0,No,0
159,"€ 1,550/month","Apartment ground floor, Cessange, Luxembourg",https://www.immotop.lu/en/annonces/1691629/,Apartment,Rent,Ground floor,Yes,35 m²,0,0,1,0,No,1 in shared parking
160,"€ 3,500/month","2-room flat 37, Rue des Muguets, Neudorf-Weimershof, Luxembourg",https://www.immotop.lu/en/annonces/1674201/,Apartment,Rent,1,Yes,80 m²,2,2,1,0,No,0
161,"€ 3,500/month","2-room flat 37, Rue des Muguets, Neudorf-Weimershof, Luxembourg",https://www.immotop.lu/en/annonces/1674175/,Apartment,Rent,Ground floor,Yes,80 m²,2,2,1,0,Yes,1 in garage/box
162,"€ 2,600/month","1-bedroom flat 37, Rue des Muguets, Neudorf-Weimershof, Luxembourg",https://www.immotop.lu/en/annonces/1674179/,Apartment,Rent,Ground floor,Yes,54 m²,1,1,1,Yes,Yes,0
163,"€ 2,400/month","1-bedroom flat 37, rue des Muguets, Neudorf-Weimershof, Luxembourg",https://www.immotop.lu/en/annonces/1679695/,Apartment,Rent,1,Yes,49 m²,1,1,1,Yes,0,0
164,"€ 3,100/month","Multi-family detached house 43, rue de Niederdonven, Ahn, Wormeldange",https://www.immotop.lu/en/annonces/1668763/,Multi-family detached house,Rent,Ground floor,No,180 m²,4,4,2,0,Yes,"1 in garage/box, 1 in shared parking"
165,"€ 2,600/month","1-bedroom flat 37, Rue des Muguets, Neudorf-Weimershof, Luxembourg",https://www.immotop.lu/en/annonces/1674203/,Apartment,Rent,Ground floor,Yes,51 m²,1,1,1,Yes,Yes,0
166,"€ 1,700/month","1-bedroom flat third floor, Steinfort Localité, Steinfort",https://www.immotop.lu/en/annonces/1675443/,Apartment,Rent,3,Yes,53 m²,1,1,1,Yes,0,0
167,"€ 1,700/month","1-bedroom flat ground floor, Merl, Luxembourg",https://www.immotop.lu/en/annonces/1703173/,Apartment,Rent,0,Yes,0,1,1,1,0,No,1 in garage/box
168,"€ 2,100/month","1-bedroom flat second floor, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1640417/,Apartment,Rent,2,No,70 m²,1,1,1,0,Yes,0
169,"€ 1,900/month","2-room flat second floor, Belval-Université, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1703553/,Apartment,Rent,2,Yes,80 m²,2,2,1,Yes,0,0
170,"€ 1,650/month","1-bedroom flat first floor, Al-Esch, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1658541/,Apartment,Rent,1,Yes,80 m²,1,1,1,Yes,0,0
171,"€ 1,600/month","2-room flat second floor, Differdange Localité, Differdange",https://www.immotop.lu/en/annonces/1701723/,Apartment,Rent,2,Yes,80 m²,2,2,1,0,No,0
172,"€ 1,250/month","Apartment 4, Place Marie-Paule Molitur Peffer, Differdange Localité, Differdange",https://www.immotop.lu/en/annonces/1703261/,Apartment,Rent,2,Yes,31 m²,0,0,1,Yes,Yes,1 in garage/box
173,"€ 1,650/month","2-room flat third floor, Bettembourg Localité, Bettembourg",https://www.immotop.lu/en/annonces/1703309/,Apartment,Rent,3,Yes,80 m²,2,2,1,0,Yes,0
174,"€ 1,590/month","1-bedroom flat fourth floor, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1647639/,Apartment,Rent,4,No,35 m²,1,1,1,0,No,0
175,"€ 3,000/month","2-room flat fifth floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1675111/,Apartment,Rent,5,No,60 m²,2,2,1,0,No,0
176,"€ 2,450/month","1-bedroom flat second floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1684651/,Apartment,Rent,2,No,82 m²,1,1,1,0,No,0
177,"€ 1,950/month
€ 2,150(-9.3%)","2-room flat new, second floor, Hosingen, Parc Hosingen",https://www.immotop.lu/en/annonces/1680637/,Apartment,Rent,2,Yes,129 m²,2,2,1,0,Yes,"1 in garage/box, 2 in shared parking"
178,"€ 2,400/month","Single-family detached house 160 m², Hosingen, Parc Hosingen",https://www.immotop.lu/en/annonces/1687103/,Single-family detached house,Rent,Ground floor,No,160 m²,5,5,2,0,No,1 in garage/box
179,"€ 1,500/month","2-room flat ground floor, Drauffelt, Clervaux",https://www.immotop.lu/en/annonces/1665053/,Apartment,Rent,Ground floor,No,80 m²,2,2,1,0,No,"1 in garage/box, 1 in shared parking"
180,"€ 1,300/month","1-bedroom flat ground floor, Weiswampach Localité, Weiswampach",https://www.immotop.lu/en/annonces/1669311/,Apartment,Rent,Ground floor,Yes,83 m²,1,1,1,0,No,1 in shared parking
181,"€ 2,500/month","Single-family detached house 200 m², Weiswampach Localité, Weiswampach",https://www.immotop.lu/en/annonces/1698589/,Single-family detached house,Rent,Ground floor,No,200 m²,4,4,2,0,Yes,4 in shared parking
182,"€ 1,650/month","1-bedroom flat first floor, Lieler, Clervaux",https://www.immotop.lu/en/annonces/1700435/,Apartment,Rent,1,No,120 m²,1,1,1,0,No,"1 in garage/box, 2 in shared parking"
183,"€ 1,500/month","3-room flat 23 rue André Duchscher, Echternach",https://www.immotop.lu/en/annonces/1703613/,Apartment,Rent,2,No,86 m²,3,3,2,0,0,0
184,"€ 1,650/month","2-room flat second floor, Al-Esch, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1703587/,Apartment,Rent,2,Yes,68 m²,2,2,1,0,0,0
185,"€ 1,850/month","1-bedroom flat first floor, Bonnevoie-Verlorenkost, Luxembourg",https://www.immotop.lu/en/annonces/1703589/,Apartment,Rent,1,No,53 m²,1,1,0,0,No,0
186,"€ 1,100/month","1-bedroom flat ground floor, Asselborn, Wincrange",https://www.immotop.lu/en/annonces/1703585/,Apartment,Rent,Ground floor,No,0,1,1,1,0,No,1 in shared parking
187,"€ 2,650/month","3-room flat new, second floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1703501/,Apartment,Rent,2,No,122 m²,3,3,1,0,Yes,0
188,"€ 1,850/month","1-bedroom flat third floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1703579/,Apartment,Rent,3,Yes,67 m²,1,1,1,0,0,0
189,"€ 2,200/month","2-room flat second floor, Mamer Localité, Mamer",https://www.immotop.lu/en/annonces/1668821/,Apartment,Rent,2,Yes,85 m²,2,2,1,Yes,0,0
190,"€ 4,100/month","Multi-family detached house 5, Rue des Dahlias, Bertrange",https://www.immotop.lu/en/annonces/1698659/,Multi-family detached house,Rent,Ground floor,No,250 m²,5,5,2,0,No,0
191,"€ 2,550/month","Single-family detached house 5, Am Felteseck, Filsdorf, Dalheim",https://www.immotop.lu/en/annonces/1703521/,Single-family detached house,Rent,Ground floor,No,135 m²,3,3,1,0,No,1 in garage/box
192,"€ 1,200/month","1-bedroom flat 3368 Leudelange, Luxembourg, Leudelange",https://www.immotop.lu/en/annonces/1701667/,Apartment,Rent,1,No,45 m²,1,1,2,0,0,0
193,"€ 1,800/month","1-bedroom flat rue Charles Arendt, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1703531/,Apartment,Rent,1,No,63 m²,1,1,1,Yes,0,0
194,"€ 1,550/month","Studio for rent, Merl, Luxembourg",https://www.immotop.lu/en/annonces/1703529/,Studio,Rent,2,Yes,38 m²,0,0,1,0,No,0
195,"€ 3,000/month
€ 3,500(-14.3%)","Single-family detached house 180 m², Al-Esch, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1675997/,Single-family detached house,Rent,Ground floor,No,180 m²,4,4,1,0,No,0
196,"€ 3,300/month","Single-family detached house Um Acker, Cap, Hagen, Steinfort",https://www.immotop.lu/en/annonces/1679773/,Single-family detached house,Rent,Ground floor,No,200 m²,4,4,3,0,Yes,0
197,"€ 1,600/month","2-room flat first floor, Al-Esch, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1703515/,Apartment,Rent,1,No,90 m²,2,2,1,0,No,0
198,"€ 2,450/month","2-room flat rue de Hollerich, Hollerich, Luxembourg",https://www.immotop.lu/en/annonces/1703495/,Apartment,Rent,2,Yes,83 m²,2,2,1,0,0,0
199,"€ 2,550/month","2-room flat rue de Hollerich, Hollerich, Luxembourg",https://www.immotop.lu/en/annonces/1633265/,Apartment,Rent,3,Yes,88 m²,2,2,2,0,0,0
200,"€ 1,290/month","Studio for rent, Bereldange, Walferdange",https://www.immotop.lu/en/annonces/1699457/,Studio,Rent,Ground floor,No,30 m²,0,0,0,0,No,1 in shared parking
201,"€ 2,400/month","2-room flat second floor, Strassen",https://www.immotop.lu/en/annonces/1703439/,Apartment,Rent,2,No,72 m²,2,2,1,0,No,0
202,"€ 3,500/month","2-room flat rue jean l'aveugle, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1703401/,Apartment,Rent,Ground floor,Yes,100 m²,2,2,2,Yes,0,0
203,"€ 4,500/month","Single-family detached house 22 rue de la Ferme, Bettembourg Localité, Bettembourg",https://www.immotop.lu/en/annonces/1699477/,Single-family detached house,Rent,Ground floor,No,240 m²,5,5,3,0,Yes,"2 in garage/box, 2 in shared parking"
204,"€ 3,000/month","2-room flat 2B, Millewee, Helmsange, Walferdange",https://www.immotop.lu/en/annonces/1699469/,Apartment,Rent,3,Yes,92 m²,2,2,1,0,Yes,0
205,"€ 1,475/month","1-bedroom flat 37 boulevard Pierre Dupong, Lallange, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1668195/,Apartment,Rent,1,Yes,41 m²,1,1,1,0,No,0
206,"€ 1,750/month","Apartment 53 rue Baudouin, Hollerich, Luxembourg",https://www.immotop.lu/en/annonces/1674159/,Apartment,Rent,3,No,33 m²,0,0,1,Yes,No,"1 in garage/box, 1 in shared parking"
207,"€ 3,000/month","Apartment 2, Rue Charles VI, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1632329/,Apartment,Rent,3,Yes,110 m²,0,0,0,Yes,No,0
208,"€ 2,200/month","2-room flat third floor, Gasperich-Cloche d’or, Luxembourg",https://www.immotop.lu/en/annonces/1664163/,Apartment,Rent,3,Yes,94 m²,2,2,1,Yes,0,0
209,"€ 4,700/month","3-room flat second floor, Merl, Luxembourg",https://www.immotop.lu/en/annonces/1659573/,Apartment,Rent,2,Yes,143 m²,3,3,2,0,Yes,0
210,"€ 2,650/month","Single-family detached house 145 m², Steinfort Localité, Steinfort",https://www.immotop.lu/en/annonces/1692125/,Single-family detached house,Rent,Ground floor,No,145 m²,3,3,2,Yes,Yes,0
211,"€ 1,800/month","Studio for rent, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1684625/,Studio,Rent,5,No,33 m²,1,1,1,Yes,No,0
212,"€ 1,850/month","2-room flat first floor, Senningen, Senningerberg, Niederanven",https://www.immotop.lu/en/annonces/1703345/,Apartment,Rent,1,No,90 m²,2,2,1,0,Yes,"1 in garage/box, 1 in shared parking"
213,"€ 1,450/month","1-bedroom flat 58 Route de Belvaux, Oberkorn, Differdange",https://www.immotop.lu/en/annonces/1703329/,Apartment,Rent,3,Yes,63 m²,1,1,1,0,0,0
214,"€ 2,200/month","2-room flat 219 Route d'Esch, Gasperich-Cloche d’or, Luxembourg",https://www.immotop.lu/en/annonces/1703327/,Apartment,Rent,4,Yes,65 m²,2,2,1,0,No,0
215,"€ 1,600/month","1-bedroom flat first floor, Pétange Localité, Pétange",https://www.immotop.lu/en/annonces/1662347/,Apartment,Rent,1,Yes,42 m²,1,1,0,Yes,No,0
216,"€ 1,450/month","1-bedroom flat first floor, Pétange Localité, Pétange",https://www.immotop.lu/en/annonces/1684895/,Apartment,Rent,1,No,42 m²,1,1,2,0,No,0
217,"€ 1,350/month","Apartment 1B, Op dem Pad, Wickrange, Reckange-sur-Mess",https://www.immotop.lu/en/annonces/1703291/,Apartment,Rent,Ground floor,Yes,36 m²,0,0,1,0,Yes,"1 in garage/box, 1 in shared parking"
218,"€ 1,700/month","Studio for rent, Strassen",https://www.immotop.lu/en/annonces/1703183/,Studio,Rent,2,No,35 m²,1,1,1,Yes,No,0
219,"€ 2,500/month","3-room flat 30, Côte d'Eich, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1684943/,Apartment,Rent,2,No,98 m²,3,3,1,0,0,0
220,"€ 2,000/month","1-bedroom flat first floor, Hollerich, Luxembourg",https://www.immotop.lu/en/annonces/1703175/,Apartment,Rent,1,Yes,68 m²,1,1,1,0,Yes,0
221,"€ 2,250/month","3-room flat Place des Alliés, Differdange Localité, Differdange",https://www.immotop.lu/en/annonces/1699987/,Apartment,Rent,2,Yes,100 m²,3,3,2,0,0,0
222,"€ 1,800/month","1-bedroom flat second floor, Beggen, Luxembourg",https://www.immotop.lu/en/annonces/1703137/,Apartment,Rent,2,Yes,55 m²,1,1,1,0,No,"1 in garage/box, 1 in shared parking"
223,"€ 1,650/month","2-room flat first floor, Dudelange",https://www.immotop.lu/en/annonces/1703127/,Apartment,Rent,1,No,92 m²,2,2,1,0,0,0
224,"€ 1,600/month","2-room flat first floor, Diekirch",https://www.immotop.lu/en/annonces/1703103/,Apartment,Rent,1,No,108 m²,2,2,1,0,No,0
225,"€ 2,950/month","3-room flat Rue de Merl, Merl, Luxembourg",https://www.immotop.lu/en/annonces/1701521/,Apartment,Rent,2,Yes,106 m²,3,3,1,0,No,0
226,"€ 2,700/month","2-room flat 9, rue Jean-Pierre Kemmer, Gasperich-Cloche d’or, Luxembourg",https://www.immotop.lu/en/annonces/1666565/,Apartment,Rent,Ground floor,Yes,70 m²,2,2,1,0,Yes,0
227,"€ 2,350/month","1-bedroom flat first floor, Merl, Luxembourg",https://www.immotop.lu/en/annonces/1699937/,Apartment,Rent,1,Yes,61 m²,1,1,1,Yes,0,0
228,"€ 2,350/month","1-bedroom flat first floor, Merl, Luxembourg",https://www.immotop.lu/en/annonces/1699933/,Apartment,Rent,1,Yes,61 m²,1,1,1,Yes,Yes,0
229,"€ 2,300/month","Penthouse 100 m² with terrace, Hesperange Localité, Hesperange",https://www.immotop.lu/en/annonces/1703073/,Penthouse,Rent,Ground floor,Yes,100 m²,1,1,3,0,0,0
230,"€ 2,300/month","Single-family detached house rue Josy Welter, Walferdange Localité, Walferdange",https://www.immotop.lu/en/annonces/1661575/,Single-family detached house,Rent,Ground floor,No,70 m²,2,2,1,0,Yes,0
231,"€ 1,500/month","1-bedroom flat rue du Village, Godbrange, Junglinster",https://www.immotop.lu/en/annonces/1700455/,Apartment,Rent,Ground floor,Yes,56 m²,1,1,2,0,Yes,0
232,"€ 1,800/month
€ 1,900(-5.3%)","1-bedroom flat rue Jean-Pierre Sauvage, Kirchberg, Luxembourg",https://www.immotop.lu/en/annonces/1627161/,Apartment,Rent,1,Yes,52 m²,1,1,2,0,No,0
233,"€ 1,250/month","Studio for rent, Bettembourg Localité, Bettembourg",https://www.immotop.lu/en/annonces/1701719/,Studio,Rent,2,Yes,45 m²,0,0,1,0,No,0
234,"€ 2,600/month","3-room flat 1 Rue Eecherschmelz, 1481 Eich Luxembourg, Hamm, Luxembourg",https://www.immotop.lu/en/annonces/1698599/,Apartment,Rent,2,No,99 m²,3,3,1,0,No,0
235,"€ 1,800/month","1-bedroom flat 12, Rue Charlotte, Rodange, Pétange",https://www.immotop.lu/en/annonces/1698415/,Apartment,Rent,1,Yes,65 m²,1,1,1,Yes,No,0
236,"€ 2,000/month","2-room flat 24 rue Joseph Junck, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1687109/,Apartment,Rent,4,Yes,90 m²,2,2,1,0,No,0
237,"€ 1,950/month","2-room flat third floor, Schieren",https://www.immotop.lu/en/annonces/1700415/,Apartment,Rent,3,Yes,107 m²,2,2,0,0,No,"1 in garage/box, 1 in shared parking"
238,"€ 1,050/month","Studio for rent, Rollingergrund, Luxembourg",https://www.immotop.lu/en/annonces/1703029/,Studio,Rent,Ground floor,No,0,0,0,0,0,No,0
239,"€ 1,200/month","Studio Place de paris, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1703027/,Studio,Rent,1,No,0,1,1,1,Yes,No,0
240,"€ 3,570/month","3-room flat new, first floor, Senningen, Senningerberg, Niederanven",https://www.immotop.lu/en/annonces/1699781/,Apartment,Rent,1,No,142 m²,3,3,2,0,No,0
241,"€ 1,100/month","1-bedroom flat excellent condition, ground floor, Born, Rosport-Mompach",https://www.immotop.lu/en/annonces/1680705/,Apartment,Rent,Ground floor,No,60 m²,1,1,1,0,Yes,0
242,"€ 2,400/month","Penthouse new, 66 m², Belval-Université, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1640469/,Penthouse,Rent,7,Yes,66 m²,1,1,1,0,0,0
243,"€ 1,500/month","1-bedroom flat Robert Schumann, Pétange Localité, Pétange",https://www.immotop.lu/en/annonces/1690679/,Apartment,Rent,1,No,76 m²,1,1,1,0,No,0
244,"€ 3,155/month","2-room flat new, second floor, Senningen, Senningerberg, Niederanven",https://www.immotop.lu/en/annonces/1699815/,Apartment,Rent,2,No,126 m²,2,2,1,0,Yes,0
245,"€ 1,900/month","Studio for rent, Belval-Université, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1639439/,Studio,Rent,7,Yes,45 m²,0,0,1,0,No,1 in shared parking
246,"€ 1,400/month","Studio for rent, Mertert Localité, Mertert",https://www.immotop.lu/en/annonces/1694969/,Studio,Rent,3,Yes,41 m²,0,0,1,0,No,1 in shared parking
247,"€ 2,400/month","2-room flat first floor, Bereldange, Walferdange",https://www.immotop.lu/en/annonces/1680397/,Apartment,Rent,1,Yes,86 m²,2,2,1,0,No,0
248,"€ 4,700/month","Single-family detached house 200 m², new, Bertrange",https://www.immotop.lu/en/annonces/1665099/,Single-family detached house,Rent,Ground floor,No,200 m²,4,4,2,0,0,0
249,"€ 1,500/month","1-bedroom flat ground floor, Eischen, Gaichel, Habscht",https://www.immotop.lu/en/annonces/1702847/,Apartment,Rent,Ground floor,No,0,1,1,1,0,No,2 in shared parking
